condition,W,rho,p,n_modes,rho_std,rho_q025,rho_q975,n_reps
REAL_demand,0.0,-0.30040619416585496,2.3089357079090032e-144,6923.0,,,,
NULL_uniform,0.0,-0.03173871588423061,,,0.011211910816025872,-0.052963948098488096,-0.011810954058158685,100.0
NULL_degree_preserving,0.0,-0.12782645598389225,,,0.009764527914849556,-0.14398207997893972,-0.11181406656598182,100.0
REAL_demand,1.0,-0.07068802425130805,3.91203754768024e-09,6923.0,,,,
NULL_uniform,1.0,-0.023002454926195407,,,0.013329536576229374,-0.04975333076860476,0.0033112653837074693,100.0
NULL_degree_preserving,1.0,-0.05496187251983946,,,0.009906304287275918,-0.07204861052584965,-0.03773972828789201,100.0
