city,slug,N,k,sigma,mean_degree,frac_localized_0.0,frac_localized_1.0,ipr_mean_0.0,ipr_mean_1.0,r_mean_0.0,r_mean_1.0,delta_r,w0_metallic,w1_insulating,clean_anderson
Bluebikes Boston,boston_bluebikes,497,6,500.0,3.2611978920682887,0.971830985915493,1.0,0.071771163521054,0.2856823643117041,0.4818187475367112,0.40900997909086206,0.07280876844584916,True,True,True
Bluebikes Boston,boston_bluebikes,497,6,800.0,4.835422302682508,0.8873239436619719,1.0,0.039854510199810775,0.262011156334164,0.5124156368875232,0.3968643889286361,0.1155512479588871,True,True,True
Bluebikes Boston,boston_bluebikes,497,6,1200.0,5.881489780157372,0.8028169014084507,1.0,0.03223803483451404,0.2564148989966663,0.47897329183681575,0.4258779710872318,0.05309532074958395,True,True,True
Bluebikes Boston,boston_bluebikes,497,10,300.0,1.8055658223964195,0.9919517102615694,1.0,0.16721119066090448,0.3488610890070865,0.4280349810714741,0.3779886391105325,0.0500463419609416,False,True,False
Bluebikes Boston,boston_bluebikes,497,10,500.0,4.100122338716599,0.971830985915493,1.0,0.08224354789125941,0.31433192482255007,0.4851955321679285,0.4118062697329777,0.07338926243495081,True,True,True
Bluebikes Boston,boston_bluebikes,497,10,800.0,6.702364064567631,0.7746478873239436,1.0,0.0455817889721104,0.3040050634226782,0.5133095478893124,0.3987591237037342,0.1145504241855782,True,True,True
Bluebikes Boston,boston_bluebikes,497,10,1200.0,8.693743674494485,0.5915492957746479,1.0,0.030451289109232456,0.2900593781261041,0.5052201781435696,0.4256636947206276,0.07955648342294197,True,True,True
Bluebikes Boston,boston_bluebikes,497,15,300.0,1.8790065588423766,0.993963782696177,1.0,0.1753207169623427,0.35695265713551994,0.41588469537558265,0.3827756615189681,0.03310903385661457,False,True,False
Bluebikes Boston,boston_bluebikes,497,15,500.0,4.684490615203642,0.9537223340040242,1.0,0.0964743932048228,0.3359565383078762,0.4602496327751559,0.4038899846903412,0.056359648084814695,True,True,True
Bluebikes Boston,boston_bluebikes,497,15,800.0,8.409523241842274,0.8048289738430584,1.0,0.056574540486629715,0.3390555629511107,0.47864864562409815,0.41881778016598387,0.05983086545811428,True,True,True
Bluebikes Boston,boston_bluebikes,497,15,1200.0,11.648333293266258,0.5633802816901409,1.0,0.0357312487867012,0.32594932240579205,0.5151256594721413,0.39840249824442564,0.11672316122771564,True,True,True
Bluebikes Boston,boston_bluebikes,497,20,300.0,1.8983495515555653,0.9959758551307847,1.0,0.1752175760770831,0.35708630808777525,0.43955934862870516,0.39797209136531103,0.04158725726339413,False,True,False
Bluebikes Boston,boston_bluebikes,497,20,500.0,4.996552897529761,0.9698189134808853,1.0,0.10369859747569178,0.3490989076649917,0.45010955326491453,0.4002026230966723,0.049906930168242214,False,True,False
Bluebikes Boston,boston_bluebikes,497,20,800.0,9.63167942262323,0.8410462776659959,1.0,0.06537596336264277,0.3538094100117031,0.49169584304010583,0.40965999084125687,0.08203585219884896,True,True,True
Bluebikes Boston,boston_bluebikes,497,20,1200.0,14.07507792243028,0.6197183098591549,1.0,0.04082134127150057,0.3502264852674502,0.5306100304126058,0.41636963963030366,0.11424039078230214,True,True,True
Capital Bikeshare DC,dc_capitalbikeshare,776,6,300.0,1.5885812522996903,0.9987113402061856,1.0,0.18895921418795192,0.37667633257204014,0.4067313128862329,0.4076762380452623,-0.0009449251590294416,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,6,500.0,3.1163094793655803,0.9948453608247423,1.0,0.11353581091124745,0.33037037542043596,0.4168036528501012,0.3984495239827672,0.018354128867334008,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,6,800.0,4.613265886844145,0.9884020618556701,1.0,0.07488300342443233,0.30360000564667516,0.45728837211173307,0.37355133350228786,0.0837370386094452,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,6,1200.0,5.681946830494135,0.9742268041237113,1.0,0.0578380072599544,0.2959312978014131,0.472946830988509,0.3980339352568551,0.07491289573165388,True,True,True
Capital Bikeshare DC,dc_capitalbikeshare,776,10,300.0,1.7854631324275756,0.9987113402061856,1.0,0.19336711456196223,0.3874379907170287,0.4050106330391015,0.3967244102918921,0.008286222747209415,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,10,500.0,3.9173287175374907,0.9974226804123711,1.0,0.12567382788150958,0.3503022829627091,0.4568830198490995,0.38944447288976336,0.06743854695933615,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,10,800.0,6.315240054854524,0.9768041237113402,1.0,0.0816269365413114,0.34067360212678965,0.46347332191422075,0.3966961009120731,0.06677722100214767,True,True,True
Capital Bikeshare DC,dc_capitalbikeshare,776,10,1200.0,8.24723833554861,0.9484536082474226,1.0,0.04858831803847549,0.32962720721069744,0.4672229013330247,0.4108777496547906,0.05634515167823406,True,True,True
Capital Bikeshare DC,dc_capitalbikeshare,776,15,300.0,1.874080520548663,0.9987113402061856,1.0,0.19895236738430114,0.3923425311433064,0.4125181591157421,0.3747461298471569,0.037772029268585194,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,15,500.0,4.482868608159242,0.9974226804123711,1.0,0.13641579290892092,0.3619102211576991,0.44590263519235646,0.3914530833217907,0.05444955187056577,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,15,800.0,7.825906953280984,0.9871134020618557,1.0,0.09802973389082244,0.372820078536438,0.45564795171090083,0.41021388821912075,0.045434063491780086,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,15,1200.0,10.829867915399461,0.9342783505154639,1.0,0.06113604129262373,0.3533115700671096,0.4776923019769285,0.3836026875971276,0.0940896143798009,True,True,True
Capital Bikeshare DC,dc_capitalbikeshare,776,20,300.0,1.9094293934562487,0.9987113402061856,1.0,0.19950393504235506,0.3929651717912839,0.4067953967109402,0.39454818196113567,0.012247214749804558,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,20,500.0,4.821340535310473,0.9974226804123711,1.0,0.143342160089537,0.3717087482314693,0.44932374204274833,0.40927667869360285,0.040047063349145484,False,True,False
Capital Bikeshare DC,dc_capitalbikeshare,776,20,800.0,8.909632410887724,0.9858247422680413,1.0,0.10834542643764286,0.3839573121710904,0.4697238327441379,0.3864355394614605,0.08328829328267745,True,True,True
Capital Bikeshare DC,dc_capitalbikeshare,776,20,1200.0,12.881847342938244,0.9432989690721649,1.0,0.07134634837789572,0.368191078637492,0.4691272376242948,0.3891656886048225,0.07996154901947233,True,True,True
Divvy Chicago,chicago_divvy,1345,6,300.0,1.4847353556913085,0.9985130111524163,1.0,0.1634082981574376,0.27455732857103377,0.4061081988277515,0.39616405777298597,0.009944141054765543,False,True,False
Divvy Chicago,chicago_divvy,1345,6,500.0,3.1744580638661883,0.9903345724907063,1.0,0.059668476314774954,0.200844751465242,0.4567199654369839,0.40367513738904365,0.05304482804794025,False,True,False
Divvy Chicago,chicago_divvy,1345,6,800.0,4.831564449135313,0.9762081784386617,1.0,0.030970913001634855,0.1690317983996492,0.4867593295875388,0.42110775438307924,0.06565157520445958,True,True,True
Divvy Chicago,chicago_divvy,1345,6,1200.0,5.8674656766669955,0.9591078066914498,1.0,0.02716126617950652,0.1604860095104894,0.4920463664556124,0.41001417704098797,0.08203218941462442,True,True,True
Divvy Chicago,chicago_divvy,1345,10,300.0,1.6031937833319216,0.9985130111524163,1.0,0.16966401869051356,0.2821466503713714,0.4011645032153493,0.4091913276286271,-0.008026824413277789,False,True,False
Divvy Chicago,chicago_divvy,1345,10,500.0,3.8862815912718265,0.9925650557620818,1.0,0.07146190164976711,0.23010537268718606,0.4779033643674624,0.40104427807643694,0.07685908629102545,True,True,True
Divvy Chicago,chicago_divvy,1345,10,800.0,6.678756655536293,0.9360594795539033,1.0,0.027598438626149725,0.2013989922377616,0.49272540997731473,0.4283682553744131,0.06435715460290165,True,True,True
Divvy Chicago,chicago_divvy,1345,10,1200.0,8.721760697426406,0.828996282527881,1.0,0.018836909647986403,0.18756066594165155,0.5063494043456428,0.4191257194124452,0.0872236849331976,True,True,True
Divvy Chicago,chicago_divvy,1345,15,300.0,1.651566273967417,0.9977695167286246,1.0,0.17192141362903873,0.28495199551782285,0.404990703168742,0.37812270357683925,0.026867999591902725,False,True,False
Divvy Chicago,chicago_divvy,1345,15,500.0,4.330524831182072,0.9903345724907063,1.0,0.08817558728295243,0.25341695844895884,0.4613989432398538,0.3973381863223384,0.0640607569175154,True,True,True
Divvy Chicago,chicago_divvy,1345,15,800.0,8.292874312101901,0.9159851301115242,1.0,0.0377187929820783,0.2329078190385003,0.5031418709066166,0.4215981182647206,0.08154375264189595,True,True,True
Divvy Chicago,chicago_divvy,1345,15,1200.0,11.70735789476093,0.7107806691449814,1.0,0.02033758862497511,0.20749486077644427,0.516483593565692,0.4235879886016393,0.09289560496405264,True,True,True
Divvy Chicago,chicago_divvy,1345,20,300.0,1.669392383409677,0.9985130111524163,1.0,0.17333429516812668,0.2862559413458584,0.4045664377292035,0.3879320040447863,0.016634433684417194,False,True,False
Divvy Chicago,chicago_divvy,1345,20,500.0,4.554111555161003,0.9910780669144982,1.0,0.09846366462478212,0.25880124479668515,0.46051942433902343,0.4028338006044747,0.05768562373454872,True,True,True
Divvy Chicago,chicago_divvy,1345,20,800.0,9.353304549713734,0.9278810408921933,1.0,0.04312756085379726,0.25170439096509667,0.5022968483360715,0.4241829519966657,0.07811389633940574,True,True,True
Divvy Chicago,chicago_divvy,1345,20,1200.0,14.03916946210855,0.6988847583643123,1.0,0.02168096942333778,0.22726337726947402,0.5134365758841369,0.4277070672979946,0.08572950858614231,True,True,True
Santander Cycles London,london_tfl,798,6,300.0,3.1181890041843405,0.9624060150375939,1.0,0.03616164689940128,0.24048451353276853,0.49202539064138984,0.39970446998045,0.09232092066093983,True,True,True
Santander Cycles London,london_tfl,798,6,500.0,4.983119604281611,0.8583959899749374,1.0,0.016003764165076213,0.22403130524435763,0.5252013216225986,0.3929099428699198,0.13229137875267877,True,True,True
Santander Cycles London,london_tfl,798,6,800.0,6.098015570609683,0.8395989974937343,1.0,0.017968610896088307,0.21931657524104947,0.5146719347525522,0.39411458959149953,0.12055734516105271,True,True,True
Santander Cycles London,london_tfl,798,6,1200.0,6.608912463913871,0.8145363408521303,1.0,0.019523775145578494,0.21938880992230658,0.5294999573348481,0.40653615327441345,0.12296380406043467,True,True,True
Santander Cycles London,london_tfl,798,10,300.0,3.745456986517214,0.9573934837092731,1.0,0.04602559511427608,0.26950734541648724,0.4709429793242916,0.41683465054205,0.05410832878224159,True,True,True
Santander Cycles London,london_tfl,798,10,500.0,6.9177685493655865,0.6729323308270677,1.0,0.01391526522893441,0.260418735277481,0.5443810809285844,0.42879723049082724,0.11558385043775715,True,True,True
Santander Cycles London,london_tfl,798,10,800.0,9.19466799908518,0.5125313283208021,1.0,0.011518308728732416,0.2586646811174847,0.5408051870503853,0.42200195632205023,0.11880323072833504,True,True,True
Santander Cycles London,london_tfl,798,10,1200.0,10.34688405804241,0.4598997493734336,1.0,0.013861467163406851,0.25357114540067993,0.5255950857999464,0.4056964480571567,0.1198986377427897,True,True,True
Santander Cycles London,london_tfl,798,15,300.0,4.090568829979946,0.9448621553884712,1.0,0.06274989025054194,0.28808313673276675,0.462387528041327,0.37858373088212416,0.08380379715920283,True,True,True
Santander Cycles London,london_tfl,798,15,500.0,8.601183391173112,0.6528822055137845,1.0,0.01870621028553965,0.2937330987255602,0.5267140414949806,0.3833985094851449,0.14331553200983566,True,True,True
Santander Cycles London,london_tfl,798,15,800.0,12.504016521911039,0.36716791979949875,1.0,0.009785880310934303,0.283166752744008,0.5215962689650792,0.42195912086598863,0.09963714809909052,True,True,True
Santander Cycles London,london_tfl,798,15,1200.0,14.715241657804356,0.3132832080200501,1.0,0.010369790235383126,0.27026153608386094,0.5296401847189512,0.4028882426440073,0.12675194207494395,True,True,True
Santander Cycles London,london_tfl,798,20,300.0,4.226601400427328,0.9423558897243107,1.0,0.07043600300231118,0.2996382996797574,0.4808842408762754,0.3896565576883421,0.09122768318793328,True,True,True
Santander Cycles London,london_tfl,798,20,500.0,9.71574466295385,0.7393483709273183,1.0,0.02660145226760443,0.3139578753458262,0.5310980106941823,0.4178616434594035,0.11323636723477876,True,True,True
Santander Cycles London,london_tfl,798,20,800.0,15.23612797774628,0.3634085213032581,1.0,0.010206208675697477,0.3014157713612965,0.5405805198435127,0.4236790268084743,0.11690149303503844,True,True,True
Santander Cycles London,london_tfl,798,20,1200.0,18.692561481161803,0.2644110275689223,1.0,0.008385150056132338,0.28989623257732283,0.5264708298204581,0.40851071317968,0.1179601166407781,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,6,300.0,2.3504497368386432,0.9464285714285714,1.0,0.08376832393577664,0.29447992732446554,0.45910652344062514,0.41495318353859734,0.0441533399020278,True,True,False
VéLÔ Toulouse,tier2_toulouse,448,6,500.0,4.074836849273814,0.6964285714285714,1.0,0.03773968268926902,0.2647998568768512,0.5152482983018757,0.4362671988735703,0.07898109942830539,True,False,False
VéLÔ Toulouse,tier2_toulouse,448,6,800.0,5.423699555913217,0.6272321428571429,1.0,0.026824232656152826,0.2556288384594915,0.514965402854531,0.38398599817913215,0.13097940467539881,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,6,1200.0,6.195056701405077,0.59375,1.0,0.025212600208659897,0.25123406495662876,0.536441414102674,0.41610516115079893,0.12033625295187506,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,10,300.0,2.8814856866333436,0.9486607142857143,1.0,0.09409624482181982,0.32081600812814565,0.4769747801549357,0.4325817261453933,0.04439305400954241,True,True,False
VéLÔ Toulouse,tier2_toulouse,448,10,500.0,5.536273530153868,0.6629464285714286,1.0,0.04768408094659323,0.29742045876837475,0.504994903245692,0.4283840501353891,0.07661085311030286,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,10,800.0,8.021412129753015,0.45982142857142855,1.0,0.031177992091746116,0.2927479760258554,0.5298404969885205,0.40394400287918475,0.1258964941093358,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,10,1200.0,9.658882348633856,0.3950892857142857,1.0,0.023629276243917283,0.28345248027380016,0.5211379644400703,0.428096430499723,0.09304153394034731,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,15,300.0,3.289087408227561,0.9464285714285714,1.0,0.09731507567119878,0.3270681426434789,0.5026834578161734,0.4061509074864778,0.0965325503296956,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,15,500.0,6.891367051962912,0.7633928571428571,1.0,0.05594176680789569,0.32755949202335616,0.4849407743348099,0.40747402316028064,0.07746675117452928,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,15,800.0,10.762644667959448,0.46651785714285715,1.0,0.03554811575971636,0.3245720200376682,0.5337579630080884,0.4201022346067558,0.11365572840133265,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,15,1200.0,13.631226853597976,0.32142857142857145,1.0,0.020675543537087646,0.3062130534150153,0.5360004444337917,0.4076843627268786,0.1283160817069131,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,20,300.0,3.5135464088214365,0.9575892857142857,1.0,0.1054703409548092,0.3342786130418194,0.47661059601798295,0.3773201359208969,0.09929046009708603,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,20,500.0,7.819525849026854,0.828125,1.0,0.06700700638323571,0.34275282313921995,0.520233539473798,0.41890596352900544,0.10132757594479258,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,20,800.0,12.92278084629046,0.5245535714285714,1.0,0.0471701361298674,0.3479524238688249,0.5009467257756411,0.41907958083959646,0.08186714493604469,True,True,True
VéLÔ Toulouse,tier2_toulouse,448,20,1200.0,17.05938381089827,0.33482142857142855,1.0,0.02659867272076633,0.33021765102477907,0.5166113497412502,0.42174729851440934,0.09486405122684088,True,True,True
Vélib Paris,tier2_paris,1511,6,300.0,2.805919866581264,0.9887491727332892,1.0,0.05781802815214555,0.25016641384847066,0.49017488299834777,0.3839334796167908,0.10624140338155696,True,True,True
Vélib Paris,tier2_paris,1511,6,500.0,4.435935385748535,0.898742554599603,1.0,0.025009398048583896,0.22171347453030538,0.48936469398419935,0.4139267830116407,0.07543791097255864,True,True,True
Vélib Paris,tier2_paris,1511,6,800.0,5.574489826626343,0.8113831899404368,1.0,0.012523922497830495,0.209026796584082,0.5240214827988336,0.40393129221718727,0.12009019058164638,True,True,True
Vélib Paris,tier2_paris,1511,6,1200.0,6.224862795061281,0.7604235605559232,1.0,0.009539859440276166,0.2010988869663197,0.534429733415504,0.40371943433877855,0.1307102990767255,True,True,True
Vélib Paris,tier2_paris,1511,10,300.0,3.5410927371537686,0.9761747187293184,1.0,0.062453982003347466,0.2813746119228762,0.4956077950257574,0.3836227762143244,0.11198501881143302,True,True,True
Vélib Paris,tier2_paris,1511,10,500.0,6.283916161557239,0.7690271343481139,1.0,0.026928652758143885,0.25885203936129964,0.5223058420098395,0.3958172970982762,0.12648854491156336,True,True,True
Vélib Paris,tier2_paris,1511,10,800.0,8.410037480503076,0.57180675049636,1.0,0.012780092095891508,0.24484243862152263,0.5254571568285464,0.39959683838239474,0.1258603184461517,True,True,True
Vélib Paris,tier2_paris,1511,10,1200.0,9.72892109008549,0.44076770350761085,1.0,0.006916419516123544,0.2316454090988605,0.5283623949243355,0.41778667932712527,0.11057571559721019,True,True,True
Vélib Paris,tier2_paris,1511,15,300.0,4.016308305699655,0.9741892786234282,1.0,0.071846704872288,0.3044216857565004,0.46865777404704456,0.4163702876857831,0.05228748636126146,True,True,True
Vélib Paris,tier2_paris,1511,15,500.0,7.981579570971726,0.7882197220383852,1.0,0.031074486062644385,0.2822060376836713,0.5196729670740869,0.40446282719235843,0.11521013988172851,True,True,True
Vélib Paris,tier2_paris,1511,15,800.0,11.4244114250803,0.500330906684315,1.0,0.016026562130282626,0.27112212085452936,0.5237009227130428,0.4042628597552884,0.11943806295775439,True,True,True
Vélib Paris,tier2_paris,1511,15,1200.0,13.71312201727193,0.3448047650562541,1.0,0.007393171550318846,0.26429060103664975,0.5370689119080274,0.4099113918410188,0.1271575200670086,True,True,True
Vélib Paris,tier2_paris,1511,20,300.0,4.262438179267135,0.9702183984116479,1.0,0.07757927416615228,0.31354955820172103,0.47522326728983677,0.39993507272193524,0.07528819456790153,True,True,True
Vélib Paris,tier2_paris,1511,20,500.0,9.237157148842611,0.8405029781601588,1.0,0.035730947335923136,0.29804908768335964,0.5103118500849859,0.4117426816779379,0.09856916840704799,True,True,True
Vélib Paris,tier2_paris,1511,20,800.0,14.023702211730544,0.5380542686962276,1.0,0.020186007303427227,0.2895308508207989,0.5146128050776104,0.4137145693660004,0.10089823571161005,True,True,True
Vélib Paris,tier2_paris,1511,20,1200.0,17.388064643522412,0.3673064195896757,1.0,0.010331166792468725,0.27913847059248487,0.5267933153478215,0.4291940786167102,0.09759923673111126,True,True,True
Vélo'v Lyon,tier2_lyon,462,6,300.0,2.679850891388132,0.9285714285714286,1.0,0.08077059603912969,0.2773934267724338,0.4794962381956624,0.3828338697254435,0.09666236847021892,True,True,True
Vélo'v Lyon,tier2_lyon,462,6,500.0,4.390279868195322,0.7012987012987013,1.0,0.046990019012716065,0.258278162186186,0.5098488641528077,0.39403442388866505,0.11581444026414267,True,True,True
Vélo'v Lyon,tier2_lyon,462,6,800.0,5.559752396195616,0.6103896103896104,1.0,0.03658433546077076,0.24983336126524408,0.49588210524631227,0.39798396681876563,0.09789813842754663,True,True,True
Vélo'v Lyon,tier2_lyon,462,6,1200.0,6.209681936051837,0.5844155844155844,1.0,0.028663632047139904,0.24496194895390408,0.5053194425127194,0.3989393648378833,0.10638007767483615,True,True,True
Vélo'v Lyon,tier2_lyon,462,10,300.0,3.269348186855599,0.9155844155844156,1.0,0.0888434434709519,0.30992116558559085,0.4526151450080778,0.4003255441093,0.05228960089877782,False,True,False
Vélo'v Lyon,tier2_lyon,462,10,500.0,6.114061376491869,0.5757575757575758,1.0,0.04830908297414548,0.29813411329570993,0.5104802189595103,0.42609730988482336,0.08438290907468698,True,True,True
Vélo'v Lyon,tier2_lyon,462,10,800.0,8.397736391165097,0.4523809523809524,1.0,0.03277525628925573,0.2857606714087435,0.5376334973619721,0.40694145415396366,0.13069204320800842,True,True,True
Vélo'v Lyon,tier2_lyon,462,10,1200.0,9.783413323113356,0.38311688311688313,1.0,0.020624256458001977,0.28370248956852884,0.49697761422813763,0.3933672167127343,0.10361039751540335,True,True,True
Vélo'v Lyon,tier2_lyon,462,15,300.0,3.6297043135895724,0.9047619047619048,1.0,0.1010758773342879,0.32922793854402244,0.456331570161756,0.40444910071315676,0.051882469448599255,False,True,False
