W,ipr_mean,ipr_median,ipr_max,frac_localized,r_mean,r_GOE_dist,r_Poisson_dist,lambda_min,lambda_max,spectral_width,disorder_type
0.0,0.05781802815214555,0.008921683574691457,0.9999959642143615,0.9887491727332892,0.49017488299834777,0.0393251170016522,0.1038748829983478,-9.874784262628795e-17,1.9999999999728373,1.9999999999728373,IMD_composite
0.049999999999999996,0.06048971523813399,0.00939940022522151,0.9999997097528693,0.9960291197882197,0.4831311255033675,0.04636887449663246,0.09683112550336753,-0.052438239719223075,2.257618980297151,2.310057220016374,IMD_composite
0.06295276165002697,0.06273660634292054,0.00943969961489805,0.9999998506187561,0.9927200529450695,0.4845368193672228,0.044963180632777155,0.09823681936722284,-0.0683178019622236,2.3243591570887454,2.392676959050969,IMD_composite
0.07926100398730214,0.06511849218733441,0.00983198509136309,0.9999999775620202,0.9940436796823295,0.47433375883609175,0.055166241163908225,0.08803375883609177,-0.08855989156510319,2.4083902660846364,2.4969501576497395,IMD_composite
0.09979398184308938,0.06899601848330274,0.010859571867618946,0.999999957205927,0.9973527465254798,0.47590728227060547,0.0535927177293945,0.08960728227060549,-0.11432048904154148,2.514192515028187,2.628513004069729,IMD_composite
0.12564613506150252,0.07161071367012563,0.012029277323398032,0.9999999902422232,0.99933818663137,0.4921412982442166,0.037358701755783374,0.10584129824421662,-0.14707583769502144,2.647407260279637,2.794483097974658,IMD_composite
0.15819542385547727,0.0780956582013805,0.013303298886875661,0.9999999868228007,1.0,0.46933200742030534,0.06016799257969463,0.08303200742030536,-0.18871434815694546,2.8151381169298295,3.003852465086775,IMD_composite
0.19917677624197705,0.08613185671184351,0.015734100352625794,0.9999999876233319,0.99933818663137,0.4691722044951452,0.060327795504854786,0.08287220449514521,-0.24165869513464017,3.0263302533998844,3.2679889485345246,IMD_composite
0.25077456241963875,0.09458905327442454,0.020564701356433027,0.9999999961273938,1.0,0.4642197694941401,0.06528023050585985,0.07791976949414015,-0.3090309351886219,3.2922482298630293,3.6012791650516514,IMD_composite
0.3157390251178666,0.10903690523147516,0.029115441721342478,0.9999999970611337,1.0,0.448574143628796,0.08092585637120397,0.06227414362879602,-0.39487756621853065,3.627078075150817,4.021955641369348,IMD_composite
0.39753287183713876,0.12429533694336135,0.041485993348922195,0.9999999940508051,1.0,0.4330304664227907,0.09646953357720928,0.04673046642279072,-0.5044707053010764,4.048686049368892,4.553156754669969,IMD_composite
0.5005158425762822,0.1441934754024488,0.05953516704722602,0.9999999975102811,1.0,0.41565086158000486,0.11384913841999511,0.029350861580004883,-0.6446827543914908,4.579575095898686,5.224257850290177,IMD_composite
0.6301770907953425,0.16929819670557,0.08255635037571776,0.9999999977285272,1.0,0.4185722664767497,0.11092773352325025,0.032272266476749745,-0.8243803963062598,5.248090843491736,6.072471239797996,IMD_composite
0.793427763882932,0.20810076900699562,0.13077919563431512,0.9999999979841814,1.0,0.3982617302736623,0.13123826972633768,0.011961730273662319,-1.065856430428052,6.089942815505375,7.1557992459334265,IMD_composite
0.998969378124722,0.24993898869818734,0.17886429155091707,0.9999999981957051,1.0,0.39268718213784776,0.13681281786215221,0.00638718213784778,-1.376027152297762,7.150124058774148,8.52615121107191,IMD_composite
1.2577576231352259,0.3029328472598092,0.23848088407884727,0.9999999970983986,1.0,0.40467997867918354,0.12482002132081643,0.018379978679183562,-1.7736488551284584,8.485334762493,10.258983617621459,IMD_composite
1.5835863172547269,0.36419033094398506,0.3083512220157175,0.9999999989190156,1.0,0.3968288999121558,0.13267110008784416,0.010528899912155831,-2.2848796089312855,10.167043897156272,12.451923506087558,IMD_composite
1.9938226396476164,0.4312807697318074,0.3911330445492405,0.9999999992028346,1.0,0.38516714000907537,0.1443328599909246,0.0011328599909246062,-2.94685292122022,12.285359005931053,15.232211927151273,IMD_composite
2.5103328281232806,0.4950914214071414,0.4643369442705055,0.9999999994390241,1.0,0.3928732116051074,0.13662678839489256,0.006573211605107432,-3.8021630324356614,14.95391966230258,18.75608269473824,IMD_composite
3.16064768382166,0.560318820410559,0.522037700346833,0.9999999996188422,1.0,0.4041443456734682,0.12535565432653178,0.01784434567346821,-4.896422799933229,18.316086066710174,23.212508866643404,IMD_composite
