city,slug,N,k,sigma,W,mean_degree,median_degree,r_mean,ipr_mean,ipr_max,frac_localized,phase
Bluebikes Boston,boston_bluebikes,497,6,300.0,0.0,1.6180622100170812,1.223011208319188,0.4164284051337575,0.15992002554949808,0.99981153894288,0.9959758551307847,Poisson
Bluebikes Boston,boston_bluebikes,497,6,300.0,1.0,1.6180622100170812,1.223011208319188,0.4009933567561606,0.336938053234368,0.9999992741460172,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,6,500.0,0.0,3.2611978920682887,3.1831077728405393,0.4818187475367112,0.071771163521054,0.6162313944962486,0.971830985915493,GOE
Bluebikes Boston,boston_bluebikes,497,6,500.0,1.0,3.2611978920682887,3.1831077728405393,0.40900997909086206,0.2856823643117041,0.9769900040405208,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,6,800.0,0.0,4.835422302682508,4.928059504139975,0.5124156368875232,0.039854510199810775,0.4881062349365669,0.8873239436619719,GOE
Bluebikes Boston,boston_bluebikes,497,6,800.0,1.0,4.835422302682508,4.928059504139975,0.3968643889286361,0.262011156334164,0.9192598416817875,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,6,1200.0,0.0,5.881489780157372,5.750717432699634,0.47897329183681575,0.03223803483451404,0.42389521871098634,0.8028169014084507,intermediate
Bluebikes Boston,boston_bluebikes,497,6,1200.0,1.0,5.881489780157372,5.750717432699634,0.4258779710872318,0.2564148989966663,0.9209830069968452,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,10,300.0,0.0,1.8055658223964195,1.2489173503062716,0.4280349810714741,0.16721119066090448,0.9998044515708066,0.9919517102615694,Poisson
Bluebikes Boston,boston_bluebikes,497,10,300.0,1.0,1.8055658223964195,1.2489173503062716,0.3779886391105325,0.3488610890070865,0.9999992655034342,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,10,500.0,0.0,4.100122338716599,3.8224447285691503,0.4851955321679285,0.08224354789125941,0.5170380171581964,0.971830985915493,GOE
Bluebikes Boston,boston_bluebikes,497,10,500.0,1.0,4.100122338716599,3.8224447285691503,0.4118062697329777,0.31433192482255007,0.9650679906860682,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,10,800.0,0.0,6.702364064567631,6.961796093987519,0.5133095478893124,0.0455817889721104,0.5379448301200237,0.7746478873239436,GOE
Bluebikes Boston,boston_bluebikes,497,10,800.0,1.0,6.702364064567631,6.961796093987519,0.3987591237037342,0.3040050634226782,0.9490189175193134,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,10,1200.0,0.0,8.693743674494485,8.947971072334768,0.5052201781435696,0.030451289109232456,0.5839740005997875,0.5915492957746479,GOE
Bluebikes Boston,boston_bluebikes,497,10,1200.0,1.0,8.693743674494485,8.947971072334768,0.4256636947206276,0.2900593781261041,0.9518426770902421,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,15,300.0,0.0,1.8790065588423766,1.2535238899462473,0.41588469537558265,0.1753207169623427,0.9998044516198722,0.993963782696177,Poisson
Bluebikes Boston,boston_bluebikes,497,15,300.0,1.0,1.8790065588423766,1.2535238899462473,0.3827756615189681,0.35695265713551994,0.9999992655033383,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,15,500.0,0.0,4.684490615203642,4.106872262585398,0.4602496327751559,0.0964743932048228,0.5170267515752311,0.9537223340040242,intermediate
Bluebikes Boston,boston_bluebikes,497,15,500.0,1.0,4.684490615203642,4.106872262585398,0.4038899846903412,0.3359565383078762,0.9650736518270319,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,15,800.0,0.0,8.409523241842274,8.49264069695972,0.47864864562409815,0.056574540486629715,0.4986875957539877,0.8048289738430584,intermediate
Bluebikes Boston,boston_bluebikes,497,15,800.0,1.0,8.409523241842274,8.49264069695972,0.41881778016598387,0.3390555629511107,0.9708261058032674,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,15,1200.0,0.0,11.648333293266258,12.320425585241804,0.5151256594721413,0.0357312487867012,0.49824338993697714,0.5633802816901409,GOE
Bluebikes Boston,boston_bluebikes,497,15,1200.0,1.0,11.648333293266258,12.320425585241804,0.39840249824442564,0.32594932240579205,0.974739126923673,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,20,300.0,0.0,1.8983495515555653,1.2558588912905073,0.43955934862870516,0.1752175760770831,0.9998044516191228,0.9959758551307847,intermediate
Bluebikes Boston,boston_bluebikes,497,20,300.0,1.0,1.8983495515555653,1.2558588912905073,0.39797209136531103,0.35708630808777525,0.9999992655033383,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,20,500.0,0.0,4.996552897529761,4.178468892787607,0.45010955326491453,0.10369859747569178,0.5170236206480905,0.9698189134808853,intermediate
Bluebikes Boston,boston_bluebikes,497,20,500.0,1.0,4.996552897529761,4.178468892787607,0.4002026230966723,0.3490989076649917,0.9651320666299482,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,20,800.0,0.0,9.63167942262323,9.33273093301504,0.49169584304010583,0.06537596336264277,0.4990456245257575,0.8410462776659959,GOE
Bluebikes Boston,boston_bluebikes,497,20,800.0,1.0,9.63167942262323,9.33273093301504,0.40965999084125687,0.3538094100117031,0.9802561979188436,1.0,Poisson
Bluebikes Boston,boston_bluebikes,497,20,1200.0,0.0,14.07507792243028,14.716067568011495,0.5306100304126058,0.04082134127150057,0.6188789726543515,0.6197183098591549,GOE
Bluebikes Boston,boston_bluebikes,497,20,1200.0,1.0,14.07507792243028,14.716067568011495,0.41636963963030366,0.3502264852674502,0.9840128450863109,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,6,300.0,0.0,1.5885812522996903,1.3625516416132406,0.4067313128862329,0.18895921418795192,0.9998906374547694,0.9987113402061856,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,6,300.0,1.0,1.5885812522996903,1.3625516416132406,0.4076762380452623,0.37667633257204014,0.9999999999999831,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,6,500.0,0.0,3.1163094793655803,3.127981174887389,0.4168036528501012,0.11353581091124745,0.99801700307598,0.9948453608247423,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,6,500.0,1.0,3.1163094793655803,3.127981174887389,0.3984495239827672,0.33037037542043596,0.9994183869238308,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,6,800.0,0.0,4.613265886844145,4.8288263452708104,0.45728837211173307,0.07488300342443233,0.8530535356375563,0.9884020618556701,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,6,800.0,1.0,4.613265886844145,4.8288263452708104,0.37355133350228786,0.30360000564667516,0.969699745496811,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,6,1200.0,0.0,5.681946830494135,5.730061855490479,0.472946830988509,0.0578380072599544,0.653371012308717,0.9742268041237113,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,6,1200.0,1.0,5.681946830494135,5.730061855490479,0.3980339352568551,0.2959312978014131,0.9712256897723922,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,10,300.0,0.0,1.7854631324275756,1.395408692367881,0.4050106330391015,0.19336711456196223,0.999999566528658,0.9987113402061856,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,10,300.0,1.0,1.7854631324275756,1.395408692367881,0.3967244102918921,0.3874379907170287,0.9999999999999829,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,10,500.0,0.0,3.9173287175374907,3.4833596514887515,0.4568830198490995,0.12567382788150958,0.9980170030184321,0.9974226804123711,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,10,500.0,1.0,3.9173287175374907,3.4833596514887515,0.38944447288976336,0.3503022829627091,0.9994183869278151,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,10,800.0,0.0,6.315240054854524,6.463641693150452,0.46347332191422075,0.0816269365413114,0.8530535356375566,0.9768041237113402,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,10,800.0,1.0,6.315240054854524,6.463641693150452,0.3966961009120731,0.34067360212678965,0.9792409970388259,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,10,1200.0,0.0,8.24723833554861,8.72245811064285,0.4672229013330247,0.04858831803847549,0.6533709829575,0.9484536082474226,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,10,1200.0,1.0,8.24723833554861,8.72245811064285,0.4108777496547906,0.32962720721069744,0.9826801581730994,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,15,300.0,0.0,1.874080520548663,1.395945425565949,0.4125181591157421,0.19895236738430114,0.999999992433575,0.9987113402061856,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,15,300.0,1.0,1.874080520548663,1.395945425565949,0.3747461298471569,0.3923425311433064,0.9999999999999829,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,15,500.0,0.0,4.482868608159242,3.6647083442960824,0.44590263519235646,0.13641579290892092,0.9980170030184319,0.9974226804123711,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,15,500.0,1.0,4.482868608159242,3.6647083442960824,0.3914530833217907,0.3619102211576991,0.9994183869278151,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,15,800.0,0.0,7.825906953280984,7.4328503650408635,0.45564795171090083,0.09802973389082244,0.8530535356375565,0.9871134020618557,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,15,800.0,1.0,7.825906953280984,7.4328503650408635,0.41021388821912075,0.372820078536438,0.9826422287661931,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,15,1200.0,0.0,10.829867915399461,11.404787069931285,0.4776923019769285,0.06113604129262373,0.668497302539934,0.9342783505154639,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,15,1200.0,1.0,10.829867915399461,11.404787069931285,0.3836026875971276,0.3533115700671096,0.9875635865089487,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,20,300.0,0.0,1.9094293934562487,1.395977224105885,0.4067953967109402,0.19950393504235506,0.9999999275101374,0.9987113402061856,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,20,300.0,1.0,1.9094293934562487,1.395977224105885,0.39454818196113567,0.3929651717912839,0.9999999999999831,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,20,500.0,0.0,4.821340535310473,3.6872096726637538,0.44932374204274833,0.143342160089537,0.9980170030184319,0.9974226804123711,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,20,500.0,1.0,4.821340535310473,3.6872096726637538,0.40927667869360285,0.3717087482314693,0.9994183869278151,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,20,800.0,0.0,8.909632410887724,7.9354414358163705,0.4697238327441379,0.10834542643764286,0.8530535356375565,0.9858247422680413,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,20,800.0,1.0,8.909632410887724,7.9354414358163705,0.3864355394614605,0.3839573121710904,0.9836587276212431,1.0,Poisson
Capital Bikeshare DC,dc_capitalbikeshare,776,20,1200.0,0.0,12.881847342938244,13.053693450570254,0.4691272376242948,0.07134634837789572,0.6565150004034573,0.9432989690721649,intermediate
Capital Bikeshare DC,dc_capitalbikeshare,776,20,1200.0,1.0,12.881847342938244,13.053693450570254,0.3891656886048225,0.368191078637492,0.9900139640066494,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,6,300.0,0.0,1.4847353556913085,1.2494516642526716,0.4061081988277515,0.1634082981574376,0.9999999999029072,0.9985130111524163,Poisson
Divvy Chicago,chicago_divvy,1345,6,300.0,1.0,1.4847353556913085,1.2494516642526716,0.39616405777298597,0.27455732857103377,0.9999999999405427,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,6,500.0,0.0,3.1744580638661883,3.1259689353430185,0.4567199654369839,0.059668476314774954,0.9995605199663367,0.9903345724907063,intermediate
Divvy Chicago,chicago_divvy,1345,6,500.0,1.0,3.1744580638661883,3.1259689353430185,0.40367513738904365,0.200844751465242,0.9981529002773918,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,6,800.0,0.0,4.831564449135313,4.8201170353810765,0.4867593295875388,0.030970913001634855,0.5096156095701155,0.9762081784386617,GOE
Divvy Chicago,chicago_divvy,1345,6,800.0,1.0,4.831564449135313,4.8201170353810765,0.42110775438307924,0.1690317983996492,0.9787108823377166,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,6,1200.0,0.0,5.8674656766669955,5.761997937279127,0.4920463664556124,0.02716126617950652,0.5,0.9591078066914498,GOE
Divvy Chicago,chicago_divvy,1345,6,1200.0,1.0,5.8674656766669955,5.761997937279127,0.41001417704098797,0.1604860095104894,0.9750747295008318,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,10,300.0,0.0,1.6031937833319216,1.28775690088834,0.4011645032153493,0.16966401869051356,0.9999999999029061,0.9985130111524163,Poisson
Divvy Chicago,chicago_divvy,1345,10,300.0,1.0,1.6031937833319216,1.28775690088834,0.4091913276286271,0.2821466503713714,0.9999999999403035,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,10,500.0,0.0,3.8862815912718265,3.7629978333829737,0.4779033643674624,0.07146190164976711,0.9993555093250015,0.9925650557620818,intermediate
Divvy Chicago,chicago_divvy,1345,10,500.0,1.0,3.8862815912718265,3.7629978333829737,0.40104427807643694,0.23010537268718606,0.999235824932626,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,10,800.0,0.0,6.678756655536293,6.762153866193482,0.49272540997731473,0.027598438626149725,0.5107361921760093,0.9360594795539033,GOE
Divvy Chicago,chicago_divvy,1345,10,800.0,1.0,6.678756655536293,6.762153866193482,0.4283682553744131,0.2013989922377616,0.9849574839642905,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,10,1200.0,0.0,8.721760697426406,8.731005942429718,0.5063494043456428,0.018836909647986403,0.5000000000000001,0.828996282527881,GOE
Divvy Chicago,chicago_divvy,1345,10,1200.0,1.0,8.721760697426406,8.731005942429718,0.4191257194124452,0.18756066594165155,0.9819499409799559,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,15,300.0,0.0,1.651566273967417,1.2885683232673864,0.404990703168742,0.17192141362903873,0.9999999999029059,0.9977695167286246,Poisson
Divvy Chicago,chicago_divvy,1345,15,300.0,1.0,1.651566273967417,1.2885683232673864,0.37812270357683925,0.28495199551782285,0.9999999999403131,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,15,500.0,0.0,4.330524831182072,4.008210618628201,0.4613989432398538,0.08817558728295243,0.9995596351681867,0.9903345724907063,intermediate
Divvy Chicago,chicago_divvy,1345,15,500.0,1.0,4.330524831182072,4.008210618628201,0.3973381863223384,0.25341695844895884,0.9992915094713992,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,15,800.0,0.0,8.292874312101901,8.48586701259477,0.5031418709066166,0.0377187929820783,0.5508387142514878,0.9159851301115242,GOE
Divvy Chicago,chicago_divvy,1345,15,800.0,1.0,8.292874312101901,8.48586701259477,0.4215981182647206,0.2329078190385003,0.987969892496463,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,15,1200.0,0.0,11.70735789476093,11.96384892933814,0.516483593565692,0.02033758862497511,0.5129164889804758,0.7107806691449814,GOE
Divvy Chicago,chicago_divvy,1345,15,1200.0,1.0,11.70735789476093,11.96384892933814,0.4235879886016393,0.20749486077644427,0.9873196160397453,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,20,300.0,0.0,1.669392383409677,1.2892747228110673,0.4045664377292035,0.17333429516812668,0.9999999999029061,0.9985130111524163,Poisson
Divvy Chicago,chicago_divvy,1345,20,300.0,1.0,1.669392383409677,1.2892747228110673,0.3879320040447863,0.2862559413458584,0.9999999999403131,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,20,500.0,0.0,4.554111555161003,4.101195184302535,0.46051942433902343,0.09846366462478212,0.9992992551903391,0.9910780669144982,intermediate
Divvy Chicago,chicago_divvy,1345,20,500.0,1.0,4.554111555161003,4.101195184302535,0.4028338006044747,0.25880124479668515,0.9992918289756796,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,20,800.0,0.0,9.353304549713734,9.411753057210007,0.5022968483360715,0.04312756085379726,0.5560070797627802,0.9278810408921933,GOE
Divvy Chicago,chicago_divvy,1345,20,800.0,1.0,9.353304549713734,9.411753057210007,0.4241829519966657,0.25170439096509667,0.9906669339292085,1.0,Poisson
Divvy Chicago,chicago_divvy,1345,20,1200.0,0.0,14.03916946210855,14.445175651224709,0.5134365758841369,0.02168096942333778,0.5151608428130477,0.6988847583643123,GOE
Divvy Chicago,chicago_divvy,1345,20,1200.0,1.0,14.03916946210855,14.445175651224709,0.4277070672979946,0.22726337726947402,0.9912653771978388,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,6,300.0,0.0,1.9143212961100833,1.793318301968909,0.41700288239268357,0.12031661583005189,0.9617721025793105,0.9946428571428572,Poisson
Bay Wheels SF,sf_baywheels,560,6,300.0,1.0,1.9143212961100833,1.793318301968909,0.41006522833172976,0.2940558419970541,0.9816719401035967,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,6,500.0,0.0,3.7607204485961647,3.921769202608184,0.44102543812400785,0.05556887330678314,0.4920556460345625,0.9839285714285714,intermediate
Bay Wheels SF,sf_baywheels,560,6,500.0,1.0,3.7607204485961647,3.921769202608184,0.4084161865083691,0.25470055144618026,0.9675531978257742,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,6,800.0,0.0,5.306543771882479,5.363196936266249,0.4557318903583096,0.03893935308988023,0.4906330809596034,0.9803571428571428,intermediate
Bay Wheels SF,sf_baywheels,560,6,800.0,1.0,5.306543771882479,5.363196936266249,0.4119293728035604,0.2447547019141524,0.9591614982040053,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,6,1200.0,0.0,6.2036306862349395,6.236855643260535,0.43827596630217913,0.03887899054755829,0.4952102191331677,0.9732142857142857,intermediate
Bay Wheels SF,sf_baywheels,560,6,1200.0,1.0,6.2036306862349395,6.236855643260535,0.41140789602961025,0.2364979042509353,0.9556013962259519,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,10,300.0,0.0,2.1184050480451115,1.880336121363585,0.4362701589615631,0.13122370001355982,0.9612682722781067,0.9964285714285714,Poisson
Bay Wheels SF,sf_baywheels,560,10,300.0,1.0,2.1184050480451115,1.880336121363585,0.39549524404666575,0.2993718889017817,0.9843198566871794,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,10,500.0,0.0,4.77486462540398,4.748550208338994,0.42438556823225776,0.07105465895590538,0.49278702831971166,0.9821428571428571,Poisson
Bay Wheels SF,sf_baywheels,560,10,500.0,1.0,4.77486462540398,4.748550208338994,0.4262548730746487,0.28386010497796493,0.979443972603268,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,10,800.0,0.0,7.533743444693187,7.860586288899866,0.43507144394860847,0.03798542503462118,0.49608740716092253,0.9696428571428571,Poisson
Bay Wheels SF,sf_baywheels,560,10,800.0,1.0,7.533743444693187,7.860586288899866,0.391276596546282,0.2754778682713208,0.9769721680025617,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,10,1200.0,0.0,9.416082640615862,9.467077213078477,0.42526834694592924,0.029972550741214604,0.38697417906644627,0.9571428571428572,Poisson
Bay Wheels SF,sf_baywheels,560,10,1200.0,1.0,9.416082640615862,9.467077213078477,0.41919181091332197,0.2677314918858806,0.976432437125378,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,15,300.0,0.0,2.210426261778716,1.8935923622947533,0.4392883948372883,0.1368631884140176,0.9616705550368534,0.9964285714285714,intermediate
Bay Wheels SF,sf_baywheels,560,15,300.0,1.0,2.210426261778716,1.8935923622947533,0.40285237608683716,0.3089504912155422,0.9852288632159375,1.0,Poisson
Bay Wheels SF,sf_baywheels,560,15,500.0,0.0,5.496637958111366,5.078990201505859,0.4395745893317458,0.08915571802117839,0.4929553172696024,0.9875,intermediate
Bay Wheels SF,sf_baywheels,560,15,500.0,1.0,5.496637958111366,5.078990201505859,0.4043095433818866,0.308595128275617,0.9850234021549558,1.0,Poisson
