W,ipr_mean,ipr_median,ipr_max,frac_localized,r_mean,r_GOE_dist,r_Poisson_dist,lambda_min,lambda_max,spectral_width,fraction,rep,N_sub
0.0,0.15405886712771608,0.06275967319669651,0.9999999961495178,0.9900662251655629,0.43406675915697174,0.09543324084302823,0.04776675915697176,5.777072246961497e-17,1.9998617072045162,1.9998617072045162,0.4,0,604
0.049999999999999996,0.16605532710116852,0.06529205399831126,1.0,0.9983443708609272,0.4310792295313695,0.09842077046863046,0.044779229531369535,-0.04103913321173529,2.059385820630721,2.1004249538424564,0.4,0,604
0.06295276165002697,0.1705057877969648,0.06951120893709295,1.0,0.9966887417218543,0.44926743941833164,0.08023256058166833,0.06296743941833166,-0.05306106665657467,2.0804023840116743,2.133463450668249,0.4,0,604
0.07926100398730214,0.16997006710661242,0.06988061343463203,1.0,0.9983443708609272,0.392914929578073,0.13658507042192697,0.0066149295780730255,-0.06822494088983752,2.1068858865685427,2.17511082745838,0.4,0,604
0.09979398184308938,0.17693585872080778,0.07606349229260828,1.0,1.0,0.445662649854224,0.08383735014577598,0.059362649854224014,-0.0873433808771756,2.140262804257152,2.2276061851343276,0.4,0,604
0.12564613506150252,0.18408378484785137,0.08713235199992608,1.0,1.0,0.4297876275627966,0.09971237243720338,0.043487627562796616,-0.11144295635215694,2.1823339905423897,2.2937769468945466,0.4,0,604
0.15819542385547727,0.1928490066602828,0.10230253820526161,1.0,1.0,0.41446013841800794,0.11503986158199203,0.028160138418007963,-0.14182051382801425,2.235374301933028,2.3771948157610425,0.4,0,604
0.19917677624197705,0.20724387446780743,0.11109645485380172,1.0,1.0,0.4228032568025277,0.10669674319747224,0.03650325680252775,-0.18011494588569568,2.3022596481541133,2.482374594039809,0.4,0,604
0.25077456241963875,0.2226601449178791,0.1418510269756666,1.0,1.0,0.4013725376930157,0.1281274623069843,0.015072537693015697,-0.23904229966201515,2.3866295216136946,2.6256718212757097,0.4,0,604
0.3157390251178666,0.24644848167777605,0.16275652549820585,1.0,1.0,0.42252382940403077,0.1069761705959692,0.036223829404030794,-0.3338746812211703,2.4930956409709824,2.8269703221921527,0.4,0,604
0.39753287183713876,0.27835662646712256,0.20451311725286697,1.0,1.0,0.4292971890921238,0.1002028109078762,0.0429971890921238,-0.4626603104503925,2.6275108232707645,3.090171133721157,0.4,0,604
0.5005158425762822,0.3169448207988701,0.25199969403641714,1.0,1.0,0.41014603210910483,0.11935396789089514,0.023846032109104853,-0.6504255356329857,2.797316877793635,3.447742413426621,0.4,0,604
0.6301770907953425,0.3644446500484568,0.32086057803547197,1.0,1.0,0.3912203967080826,0.13827960329191735,0.004920396708082642,-1.0002160376493299,3.0541834841909674,4.054399521840297,0.4,0,604
0.793427763882932,0.42450774959458243,0.4026648025652987,1.0,1.0,0.3682891052169593,0.16121089478304068,0.018010894783040687,-1.4760261542151067,3.4088427170205513,4.884868871235658,0.4,0,604
0.998969378124722,0.47732342118290233,0.4493843792561862,1.0,1.0,0.38769033297677535,0.14180966702322462,0.001390332976775377,-2.0868700984053565,3.888475334076346,5.975345432481703,0.4,0,604
1.2577576231352259,0.5451773782743223,0.5189070310602146,1.0,1.0,0.38067923908663576,0.14882076091336421,0.00562076091336422,-2.863757492189054,4.517448119883385,7.3812056120724385,0.4,0,604
1.5835863172547269,0.6078582617061468,0.5927760072448716,1.0,1.0,0.38045912272418464,0.14904087727581533,0.005840877275815337,-3.8474015525498793,5.3761712422963175,9.223572794846197,0.4,0,604
1.9938226396476164,0.6667947766704982,0.6855265450172501,1.0,1.0,0.38649275937754735,0.14300724062245262,0.00019275937754736905,-5.0898759734958885,6.481418499663159,11.571294473159048,0.4,0,604
2.5103328281232806,0.7273087298519183,0.7746869153665079,1.0,1.0,0.4050409027730503,0.12445909722694964,0.01874090277305035,-6.65721384947793,7.8783615387942225,14.535575388272154,0.4,0,604
3.16064768382166,0.7706772220356,0.8344783439836161,1.0,1.0,0.3923225475416349,0.13717745245836505,0.006022547541634948,-8.632848547279895,9.641626169852557,18.274474717132453,0.4,0,604
3.979430005986696,0.813563715562977,0.888950045154167,1.0,1.0,0.3754386529440953,0.15406134705590468,0.010861347055904691,-11.12202212104582,11.865306587498207,22.987328708544027,0.4,0,604
5.010322173396916,0.8493836741814339,0.9254263088625907,1.0,1.0,0.37789573310826047,0.1516042668917395,0.00840426689173951,-14.257374739957564,14.667999418208325,28.925374158165887,0.4,0,604
6.308272351434023,0.8778926057839885,0.9523223241494247,1.0,1.0,0.38611163425738304,0.14338836574261693,0.00018836574261693606,-18.20600370111443,18.199138210884083,36.40514191199851,0.4,0,604
7.942463315265625,0.8967091330281644,0.9690142800855852,1.0,1.0,0.39407502353316637,0.1354249764668336,0.007775023533166392,-23.17836386965588,22.64696735215442,45.8253312218103,0.4,0,604
10.0,0.9157358782113109,0.9804184972988683,1.0,1.0,0.37427969857698273,0.15522030142301724,0.012020301423017243,-29.43948174904698,28.248581655694565,57.68806340474154,0.4,0,604
0.0,0.15212471107888292,0.07355505827118983,0.9841553084788914,0.9900662251655629,0.41038424133476986,0.11911575866523011,0.024084241334769885,-2.4558003679843615e-16,1.9999999999999991,1.9999999999999993,0.4,1,604
0.049999999999999996,0.16708278220917966,0.0845279183708853,1.0,1.0,0.45667718901058596,0.07282281098941401,0.07037718901058598,-0.07808895286079623,2.033715753313811,2.111804706174607,0.4,1,604
0.06295276165002697,0.17262067403157466,0.08974338854239311,1.0,1.0,0.4490463303400659,0.08045366965993406,0.06274633034006594,-0.10056926188632152,2.04458234211995,2.1451516040062715,0.4,1,604
0.07926100398730214,0.17832874487143308,0.08919848453996962,1.0,1.0,0.4332787748464392,0.0962212251535608,0.0469787748464392,-0.12890795168576555,2.0584282759220156,2.1873362276077812,0.4,1,604
0.09979398184308938,0.18524711139439268,0.09921898453591943,1.0,1.0,0.40522525615335153,0.12427474384664844,0.018925256153351555,-0.16463419063187903,2.0761205545583965,2.2407547451902756,0.4,1,604
0.12564613506150252,0.1940289824494628,0.113484986007659,1.0,1.0,0.4208993295740941,0.10860067042590588,0.03459932957409412,-0.20967755658868847,2.0988052363715934,2.308482792960282,0.4,1,604
0.15819542385547727,0.20172651701330457,0.1251812305934954,1.0,1.0,0.41397628361287636,0.11552371638712361,0.027676283612876384,-0.2664727216049716,2.1280099422444145,2.394482663849386,0.4,1,604
0.19917677624197705,0.22257012108482535,0.13763521364543463,1.0,1.0,0.43371673713995607,0.0957832628600439,0.04741673713995609,-0.33809155631788584,2.1717130815056085,2.5098046378234944,0.4,1,604
0.25077456241963875,0.2374868743357964,0.16553831444946576,1.0,1.0,0.39795942809328855,0.13154057190671142,0.01165942809328857,-0.4284100020843414,2.246961058029178,2.6753710601135197,0.4,1,604
0.3157390251178666,0.26901602178337414,0.2078483849557794,1.0,1.0,0.4007328335395381,0.12876716646046188,0.014432833539538115,-0.542319248404467,2.3525096216731542,2.894828870077621,0.4,1,604
0.39753287183713876,0.29468960758857904,0.2412594842074941,1.0,1.0,0.39419691421520175,0.13530308578479822,0.007896914215201778,-0.6859936443916679,2.5039647450399545,3.1899583894316224,0.4,1,604
0.5005158425762822,0.3331424131059981,0.2855136090488909,1.0,1.0,0.3959368707785017,0.13356312922149827,0.009636870778501727,-0.8672315578865663,2.7224801908962446,3.5897117487828107,0.4,1,604
